words,value
бессовестный,-1.33333333333333
бессодержательный,-0.666666666666667
бесспорный,0.666666666666667
бесстрашный,1
бестактный,-1
бесталанный,-1
бестолковый,-1.66666666666667
бесхитростный,0
бесхребетный,-1
бесцельный,-1.33333333333333
бесценный,1.66666666666667
бесцеремонный,-1.33333333333333
бесчеловечный,-1.33333333333333
бесчестный,-1
бесчисленный,0
бесчувственный,-1.33333333333333
бесшумный,0.333333333333333
бешенство,-1
бешеный,0
би-би-си,0
библейский,0
библиотека,0.333333333333333
бизнес,0
бизнесмен,0
биньямин,0
биографический,0
биолог,0
биология,0
бирюлево,0
бисексуал,-0.666666666666667
бисмарк,0
битва,-0.888888888888889
бить,-0.666666666666667
бишкек,0
благовещенский,0
благовоспитанный,1
благоговейный,1.25
благодарить,1.33333333333333
благодарность,1.33333333333333
благодарственный,1.33333333333333
благодать,1
благожелательный,0.833333333333333
благозвучный,1
благой,1
благополучно,1.33333333333333
благополучный,1.66666666666667
благоприятный,1.66666666666667
благоразумный,1
благородный,1.33333333333333
благосклонный,0.888888888888889
благословлять,1.33333333333333
благосостояние,0.333333333333333
благостный,1.25
благотворитель,1
благотворительность,1
благотворительный,1
благотворный,1.66666666666667
благоустройство,0.666666666666667
блаженный,1.33333333333333
блаженство,1.33333333333333
блатной,-1.66666666666667
блевать,-1
блевотина,-2
блеклый,-0.666666666666667
блекнуть,-0.833333333333333
блеск,1.5
блестеть,1
ближневосточный,0
ближний,0.666666666666667
близкий,0.666666666666667
блистательный,1.55555555555556
блистать,-0.333333333333333
блокада,-1
блокадный,-1
блокирование,-0.5
блокировать,-0.444444444444444
блокироваться,-0.75
блокировка,-0.333333333333333
блокпост,0
блядство,-2
богатство,0.5
богатый,0.4
богатырский,0.666666666666667
богобоязненный,-0.666666666666667
богомерзкий,-2
богослужебный,0
богоугодный,1.33333333333333
богоявленский,0
бодрый,1
боевой,0
боеголовка,-0.4
боеприпас,-0.444444444444444
божеский,0.666666666666667
божественный,1
божий,0
бой,-0.333333333333333
бойкий,0.333333333333333
бойня,-1.88888888888889
болгария,0
болгарский,0.25
болезненный,-1
болезный,-1
болезнь,-0.75
боливийский,0
боливия,0
болотный,0
болтаться,-0.5
болтливый,-0.666666666666667
болтовня,-1
больница,0
больничный,-0.333333333333333
большевизм,0
большевик,0
больший,0.333333333333333
бомба,-1.33333333333333
бомбардировка,-1125
бомбардировщик,-0.714285714285714
бомбежка,-0.666666666666667
бомбить,-1.33333333333333
бонус,0
борец,1
боржоми,0.333333333333333
боровицкий,0
бороться,-0.333333333333333
борьба,0
боснийский,0
босния,0
бостонский,0
боязнь,-1
бразилия,0
бразильский,0
братоубийственный,-1.33333333333333
брежнев,0
брежневский,0
брезговать,-1.33333333333333
бренный,-0.666666666666667
брестский,0.333333333333333
бригада,0
бриллиантовый,0.333333333333333
британский,0
брифинг,0
бродяга,-1
бронебойный,0
бронетехника,0
броский,0.333333333333333
брутальный,0.333333333333333
брызги,0
брэдли,0
брюссель,0
брянский,0
буддизм,0.222222222222222
буйный,-0.6
буквальный,0
бульвар,0
бульварный,0
бульдозер,-0.166666666666667
бумага,-0.25
бумажка,-0.333333333333333
бунтовать,-1.33333333333333
буржуазия,-0.75
буржуазный,-0.333333333333333
буржуй,-1.25
бутырский,-0.333333333333333
бухать,-1.66666666666667
бухгалтерский,0
бывалый,0.857142857142857
быдло,-1.66666666666667
былина,0
былой,0
быстроразвивающийся,0
быстрорастущий,0.777777777777778
быстрый,0.666666666666667
бытие,0
бытность,0
бытовой,0
бюллетень,0
бюргер,0
бюро,0
бюрократ,-1
бюрократический,-0.333333333333333
бюрократия,-0.666666666666667
вадим,0
важно,0
важность,0.5
важный,0
вакантный,0.333333333333333
вакцинация,0
валентин,0
вальтер,0
валюта,0
валютный,-0.333333333333333
ванкувер,0
варварский,-1
вариант,0
варшава,0
варшавский,0
варьироваться,0
василий,0
васильев,0
ватикан,0
ватиканский,0
ваучер,0
вахта,0
ваххабит,-0.666666666666667
вашингтон,-0.111111111111111
вашингтонский,0
вбивать,-1
ввод,0
вводиться,-0.333333333333333
ввс,0
вгтрк,0
вдв,0
вдвое,0
вдвоем,0
вдвойне,0
вднх,0
вдоволь,0
вдохновлять,1.16666666666667
вдумчивый,0
ведомство,0
вежливость,1.22222222222222
вежливый,1
везучий,1.33333333333333
вековой,0.111111111111111
великобритания,-0.333333333333333
великодержавный,0.333333333333333
великолепие,2
великоросс,-1
великорусский,0.666666666666667
великосветский,-0.555555555555556
величественный,1.66666666666667
величина,0
венгерский,0
венгрия,0
венерический,-1
венесуэлец,0
венесуэльский,0
венский,0
вентспилс,0
вербовать,-0.4
вердикт,0
верзилов,0
вериться,0
вермахт,0
верность,1.33333333333333
верный,0.4
вероломный,-1.66666666666667
вероятностный,0
вероятность,0.333333333333333
вероятный,0
вертеться,-0.111111111111111
вертикаль,-0.166666666666667
вертолет,-0.2
верховный,0.666666666666667
верхушка,-0.333333333333333
вершина,0.222222222222222
вес,-0.333333333333333
веселиться,0.6
веселый,0.333333333333333
весить,0
весьегонск,0
весьегонский,0
ветеран,0
ветхий,-0.75
вечеринка,0.666666666666667
вечный,0.666666666666667
вешать,0
вещание,0
вещать,0.111111111111111
вещество,0
вещий,0.666666666666667
взаимность,0
взаимный,0
взаимовыгодный,1.11111111111111
взаимодействие,0.333333333333333
взаимодействовать,0
взаимоотношение,0
взаимосвязанный,0
взахлеб,0
взбалмошный,-0.666666666666667
взбесить,-2
взбредать,-1
взвешивать,0
взвод,0
взглядывать,0
вздрагивать,-0.333333333333333
взиматься,0
взламывать,-1
взлом,-0.666666666666667
взнос,0
взорвать,-1
взрыв,-0.8
взрывать,-0.5
взрывоопасный,-0.4
взрывчатка,-0.333333333333333
взыскание,-0.333333333333333
взыскивать,-0.5
взятка,-1.33333333333333
взяточник,-1.5
видение,0.111111111111111
видеозапись,0
видеться,0
видимость,0
виза,0
византийский,0
визгливый,-1
визжать,-1
визит,0
визовый,0
википедия,0
виктор,0
викторианский,0
вильнюсский,0
вилять,-0.6
винить,-1.25
виноватый,-1.33333333333333
виновность,-0.666666666666667
виновный,-1
винтовка,-0.333333333333333
виргинский,0
вирджиния,0
виртуальный,0
вирус,-0.333333333333333
вирусный,-0.777777777777778
висконсин,0
виссарионович,0
витебский,0
витиеватый,-1.2
вице-адмирал,0
вице-президент,0
вице-премьер,0.25
вице-спикер,0
вклад,0.166666666666667
вкладчик,0
включаться,0
вкусный,1.33333333333333
влага,0.444444444444444
влад,-0.333333333333333
владеть,0
владикавказ,0
владимир,0
властный,-0.333333333333333
власть,0
вливаться,0
влияние,0
влиятельный,0.666666666666667
влиять,-0.2
влксм,0
влюбляться,0.8
вменяемый,0.333333333333333
вместе,0
вместительный,0.666666666666667
вмешательство,-0.666666666666667
вмешиваться,-0.666666666666667
вмс,0
внакладе,-0.777777777777778
внедрение,0.555555555555556
внедрять,-0.333333333333333
внезапный,-0.333333333333333
внеземной,0.4
внеплановый,-0.666666666666667
внесение,-0.333333333333333
