LanguageName,long,short,total,have_long,area
Dobu,0,5,5,FALSE,Papua
Dompo,0,7,7,FALSE,Africa
duala,0,7,7,FALSE,Africa
duruma,0,5,5,FALSE,Africa
Duruma,0,5,5,FALSE,Africa
Dutch,5,10,15,TRUE,Eurasia
DYIRBAL,0,3,3,FALSE,Australia
Dzuungoo,14,12,26,TRUE,Africa
East Makian,0,5,5,FALSE,Papua
ebira,0,9,9,FALSE,Africa
EFIK,0,7,7,FALSE,Africa
Ega,0,9,9,FALSE,Africa
Eggon,0,7,7,FALSE,Africa
Egyptian Arabic,5,4,9,TRUE,Africa
Ejagham,0,7,7,FALSE,Africa
EJAGHAM,0,7,7,FALSE,Africa
EKARI,0,5,5,FALSE,Papua
Ekpeye,0,9,9,FALSE,Africa
Eloyi,0,7,7,FALSE,Africa
Emerillon,0,14,14,FALSE,South America
engenni,0,10,10,FALSE,Africa
English,5,8,13,TRUE,Eurasia
Epena,7,14,21,TRUE,South America
Esimbi,0,8,8,FALSE,Africa
Even,8,10,18,TRUE,Eurasia
EVEN,0,10,10,FALSE,Eurasia
Ewe,0,14,14,FALSE,Africa
EWE,0,14,14,FALSE,Africa
ewondo,0,7,7,FALSE,Africa
EWONDO,0,8,8,FALSE,Africa
EYAK,7,6,13,TRUE,North America
Faiwol,0,8,8,FALSE,Papua
FASU,0,10,10,FALSE,Papua
FIJIAN,0,11,11,FALSE,Papua
Filipino,5,5,10,TRUE,Papua
Finnish,8,9,17,TRUE,Eurasia
FINNISH,0,8,8,FALSE,Eurasia
Fipa,7,7,14,TRUE,Africa
Foodo,9,9,18,TRUE,Africa
French,1,16,17,TRUE,Eurasia
FRENCH,2,14,16,TRUE,Eurasia
Friulian,7,7,14,TRUE,Eurasia
Fuliiru,5,5,10,TRUE,Africa
FUR,3,8,11,TRUE,Africa
Furu,0,10,10,FALSE,Africa
Fwe,3,7,10,TRUE,Africa
ga,0,12,12,FALSE,Africa
Ga,0,12,12,FALSE,Africa
GA,0,12,12,FALSE,Africa
Gadsup,3,3,6,TRUE,Papua
GADSUP,3,3,6,TRUE,Papua
Galician,0,7,7,FALSE,Eurasia
Gamo,5,5,10,TRUE,Africa
GARAWA,0,3,3,FALSE,Australia
Garo,0,10,10,FALSE,Eurasia
Gavar,0,5,5,FALSE,Africa
Gayo,0,8,8,FALSE,Papua
Gban,0,12,12,FALSE,Africa
Gbari,0,7,7,FALSE,Africa
GELAO,0,12,12,FALSE,Eurasia
Georgian,0,6,6,FALSE,Eurasia
GEORGIAN,0,6,6,FALSE,Eurasia
German,8,8,16,TRUE,Eurasia
GERMAN,8,11,19,TRUE,Eurasia
Giryama,0,5,5,FALSE,Africa
Glavda,3,4,7,TRUE,Africa
Golin,5,5,10,TRUE,Papua
gonja,7,7,14,TRUE,Africa
Guahibo,6,12,18,TRUE,South America
GUAHIBO,0,12,12,FALSE,South America
Guajajara,0,7,7,FALSE,South America
Guambiano,0,5,5,FALSE,South America
GUAMBIANO,0,6,6,FALSE,South America
Guarayu,0,12,12,FALSE,South America
Guayabero,0,6,6,FALSE,South America
Gujarati,4,21,25,TRUE,Eurasia
Gunwinggu,0,5,5,FALSE,Australia
Hadiyya,5,5,10,TRUE,Africa
HADZA,0,5,5,FALSE,Africa
Halbi,0,13,13,FALSE,Eurasia
hanga,0,6,6,FALSE,Africa
Harari,4,5,9,TRUE,Africa
Hausa,5,5,10,TRUE,Africa
HAUSA,0,7,7,FALSE,Africa
Hawaiian,5,5,10,TRUE,Papua
HAWAIIAN,0,5,5,FALSE,Papua
Haya,5,5,10,TRUE,Africa
herero,0,5,5,FALSE,Africa
Hiligaynon,0,5,5,FALSE,Papua
Hindi,1,20,21,TRUE,Eurasia
HIXKARYANA,0,5,5,FALSE,South America
Ho,5,14,19,TRUE,Eurasia
Hoava,0,5,5,FALSE,Papua
Holoholo,0,7,7,FALSE,Africa
Hopi,6,12,18,TRUE,North America
HOPI,0,6,6,FALSE,North America
Hoti,1,13,14,TRUE,South America
Huambisa,0,8,8,FALSE,South America
Huastec,5,5,10,TRUE,North America
Huichol,5,5,10,TRUE,North America
Hungarian,7,8,15,TRUE,Eurasia
HUNGARIAN,7,7,14,TRUE,Eurasia
Hupa,3,4,7,TRUE,North America
HUPA,3,4,7,TRUE,North America
IBAN,0,6,6,FALSE,Papua
Ibani,0,10,10,FALSE,Africa
Ibibio,6,7,13,TRUE,Africa
Icelandic,8,8,16,TRUE,Eurasia
Ida'an,0,6,6,FALSE,Papua
Idu,7,16,23,TRUE,Eurasia
igbo,0,8,8,FALSE,Africa
Igbo,0,16,16,FALSE,Africa
IGBO,0,16,16,FALSE,Africa
igede,0,10,10,FALSE,Africa
Ignaciano,0,4,4,FALSE,South America
Igo,0,7,7,FALSE,Africa
IK,0,13,13,FALSE,Africa
Ika,0,22,22,FALSE,Africa
Ikpeng,0,6,6,FALSE,South America
Ikwere,0,18,18,FALSE,Africa
Imonda,0,10,10,FALSE,Papua
Indonesian,0,17,17,FALSE,Papua
Ingush,3,10,13,TRUE,Eurasia
Iquito,4,4,8,TRUE,South America
Iraqw,5,7,12,TRUE,Africa
IRAQW,5,7,12,TRUE,Africa
IRARUTU,0,7,7,FALSE,Papua
IRISH,10,14,24,TRUE,Eurasia
Irula,1,20,21,TRUE,Eurasia
Island Carib,2,10,12,TRUE,North America
ISLAND CARIB,0,11,11,FALSE,North America
ISOKO,0,9,9,FALSE,Africa
Italian,0,7,7,FALSE,Eurasia
ITELMEN,0,5,5,FALSE,Eurasia
Itonama,0,12,12,FALSE,South America
ITONAMA,0,6,6,FALSE,South America
IWAM,0,6,6,FALSE,Papua
Iyive,0,7,7,FALSE,Africa
Izere,0,7,7,FALSE,Africa
Japanese,5,6,11,TRUE,Eurasia
JAPANESE,0,5,5,FALSE,Eurasia
Japreria,0,6,6,FALSE,South America
JAPRERIA,0,12,12,FALSE,South America
Jaqaru,3,3,6,TRUE,South America
JAQARU,0,3,3,FALSE,South America
Jaunsari,5,12,17,TRUE,Eurasia
Javanese,0,17,17,FALSE,Papua
JAVANESE,0,8,8,FALSE,Papua
JEBERO,0,4,4,FALSE,South America
Jere,8,8,16,TRUE,Africa
Jicarilla Apache,8,11,19,TRUE,North America
Jita,5,5,10,TRUE,Africa
jowulu,7,14,21,TRUE,Africa
Juang,6,16,22,TRUE,Eurasia
Jumjum,8,8,16,TRUE,Africa
Kabardian,5,2,7,TRUE,Eurasia
KABARDIAN,5,2,7,TRUE,Eurasia
Kabiye,9,14,23,TRUE,Africa
Kabyle,0,3,3,FALSE,Africa
Kadiweu,4,4,8,TRUE,South America
Kagulu,0,5,5,FALSE,Africa
Kaingang,0,5,5,FALSE,South America
KAINGANG,0,14,14,FALSE,South America
Kakabe,7,7,14,TRUE,Africa
Kako,0,12,12,FALSE,Africa
Kakua,0,5,5,FALSE,South America
KALA LAGAW YA,0,6,6,FALSE,Papua
KAM,0,7,7,FALSE,Africa
Kamasau,0,6,6,FALSE,Papua
Kambaata,5,5,10,TRUE,Africa
Kambera,3,7,10,TRUE,Papua
Kangri,5,7,12,TRUE,Eurasia
Kannada,5,6,11,TRUE,Eurasia
Kanoe,0,14,14,FALSE,South America
Karok,5,6,11,TRUE,North America
KAROK,5,6,11,TRUE,North America
kasem,10,10,20,TRUE,Africa
Kashmiri,14,14,28,TRUE,Eurasia
KASHMIRI,14,14,28,TRUE,Eurasia
KAWAIISU,0,6,6,FALSE,North America
Keiga,10,10,20,TRUE,Africa
Kemezung,0,8,8,FALSE,Africa
Kenyang,0,20,20,FALSE,Africa
KERA,0,6,6,FALSE,Africa
Ket,7,7,14,TRUE,Eurasia
KET,0,7,7,FALSE,Eurasia
kete,0,5,5,FALSE,Africa
Kharia,5,29,34,TRUE,Eurasia
KHARIA,0,5,5,FALSE,Eurasia
Khasi,6,16,22,TRUE,Eurasia
KHASI,0,8,8,FALSE,Eurasia
Khmu,9,11,20,TRUE,Eurasia
kikuyu,7,7,14,TRUE,Africa
Kimaragang,0,5,5,FALSE,Papua
Kinyarwanda,5,5,10,TRUE,Africa
KIOWA,0,20,20,FALSE,North America
Kipsigis,9,10,19,TRUE,Africa
Kirghiz,8,8,16,TRUE,Eurasia
KIRGHIZ,0,8,8,FALSE,Eurasia
Kirike,0,10,10,FALSE,Africa
KLAO,0,16,16,FALSE,Africa
Koasati,3,3,6,TRUE,North America
Kofyar,5,5,10,TRUE,Africa
KOHUMONO,0,10,10,FALSE,Africa
Kokota,0,5,5,FALSE,Papua
Konkani,4,6,10,TRUE,Eurasia
KONKANI,0,18,18,FALSE,Eurasia
konkomba,6,6,12,TRUE,Africa
Konkomba,7,7,14,TRUE,Africa
Konni,9,9,18,TRUE,Africa
Koorete,5,5,10,TRUE,Africa
Korean,8,10,18,TRUE,Eurasia
KOREAN,0,11,11,FALSE,Eurasia
Koreguaje,0,12,12,FALSE,South America
Korku,1,10,11,TRUE,Eurasia
Korubo,0,6,6,FALSE,South America
KORYAK,0,5,5,FALSE,Eurasia
Koshin,0,11,11,FALSE,Africa
Koya,5,5,10,TRUE,Eurasia
KOYA,0,5,5,FALSE,Eurasia
Koyaga,0,12,12,FALSE,Africa
KPAN,0,10,10,FALSE,Africa
Krache,0,24,24,FALSE,Africa
Krenak,0,13,13,FALSE,South America
Krim,7,9,16,TRUE,Africa
krio,0,10,10,FALSE,Africa
Krio,0,7,7,FALSE,Africa
Krongo,10,10,20,TRUE,Africa
KUNAMA,0,7,7,FALSE,Africa
Kunimaipa,0,5,5,FALSE,Papua
KUNIMAIPA,0,5,5,FALSE,Papua
Kunjen,0,5,5,FALSE,Australia
Kunza,5,5,10,TRUE,South America
Kuo,13,11,24,TRUE,Africa
Kuot,0,6,6,FALSE,Papua
Kupang Malay,0,6,6,FALSE,Papua
Kuranko,14,14,28,TRUE,Africa
kuria,0,7,7,FALSE,Africa
Kurukh,11,11,22,TRUE,Eurasia
KURUKH,0,11,11,FALSE,Eurasia
Kusunda,0,6,6,FALSE,Eurasia
Kuvi,15,19,34,TRUE,Eurasia
KWAIO,0,5,5,FALSE,Papua
Kwama,0,5,5,FALSE,Africa
Kwambi,0,6,6,FALSE,Africa
Kwami,5,5,10,TRUE,Africa
Kwanja,8,10,18,TRUE,Africa
Kwaza,0,32,32,FALSE,South America
KWOMA,0,7,7,FALSE,Papua
Lagwan,0,5,5,FALSE,Africa
Lahu,0,9,9,FALSE,Eurasia
LAHU,0,9,9,FALSE,Eurasia
Lak,3,6,9,TRUE,Eurasia
LAK,3,6,9,TRUE,Eurasia
Lakkia,0,22,22,FALSE,Eurasia
LAKKIA,10,12,22,TRUE,Eurasia
Lamang,0,4,4,FALSE,Africa
LAME,0,8,8,FALSE,Africa
Langi,10,10,20,TRUE,Africa
Lao,0,12,12,FALSE,Eurasia
Larantuka Malay,0,6,6,FALSE,Papua
Latunde,0,16,16,FALSE,South America
